tAhead,pCasesOver,pCasesSmoothedOver,pAdmOver,pOccOver,pCasesIn,pCasesSmoothedIn,pAdmIn,pOccIn,casesScore,casesSmoothedScore,admScore,occScore,casesBias,casesSmoothedBias,admBias,occBias
0,0.521739130434783,0.558139534883721,0.305841924398625,0.504716981132076,0.946843853820598,1,0.890365448504983,0.966981132075472,0.0498233507947911,0.0186610226495096,0.134669910933641,0.0398980305922821,-0.031201265965017,-0.0346662365939348,0.257303433001107,-0.0282676905214709
7,0.551495016611296,0.571428571428571,0.363321799307958,0.577464788732394,0.863787375415282,0.880398671096346,0.877076411960133,0.788732394366197,0.0936961338271452,0.0741489286657767,0.149218737888645,0.0800511062903322,-0.0338030489145541,-0.0520842411278821,0.177666508463851,-0.0722463527500327
14,0.584717607973422,0.588039867109635,0.430555555555556,0.55868544600939,0.87375415282392,0.857142857142857,0.880398671096346,0.784037558685446,0.169478349083541,0.160655300363768,0.204607689014131,0.116282703273273,-0.0566053159673237,-0.0607496168631052,0.0871950401020169,-0.0856363361594199
21,0.55,0.604651162790698,0.443686006825939,0.549295774647887,0.893687707641196,0.87375415282392,0.87375415282392,0.845070422535211,0.257761669686889,0.252696992374585,0.272412780581399,0.170047431228929,-0.0398044750737999,-0.0927748242023015,0.0406434327945956,-0.0829935383239299
