Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,98,85,25,13,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,21,20,6,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,62,40,14,8,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70,33,11,10,3,1,3,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,63,38,17,7,7,5,1,2,3,2,0,0,3,2,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,70,59,43,19,12,11,7,6,7,5,4,4,2,2,2,0,1,1,2,2,2,0,0,0,2,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,67,67,38,31,16,18,16,9,7,7,7,4,5,6,4,4,1,3,1,0,2,2,2,1,0,3,1,4,0,0,1,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,1
70,70,75,69,48,27,33,18,30,23,8,8,8,10,11,4,4,5,4,4,7,5,1,4,3,7,1,1,2,4,2,0,2,0,2,0,1,0,1,0,3,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1
80,40,70,48,39,21,36,30,21,23,18,14,13,13,10,4,13,12,5,9,4,7,9,4,6,5,5,3,6,0,0,3,2,1,2,3,2,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,3,18,15,12,8,11,13,11,9,4,4,9,3,8,2,1,3,4,2,2,1,2,2,4,2,1,2,0,3,2,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
