Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,156,157,47,20,10,6,0,2,2,2,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,42,36,7,8,0,3,2,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,116,64,16,7,4,1,2,4,2,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,137,77,32,8,9,7,6,3,2,1,2,1,0,3,3,2,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,99,65,27,17,12,4,2,3,1,0,0,0,3,2,1,2,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,132,104,50,30,24,9,10,10,7,8,4,2,5,5,4,2,0,1,4,1,0,1,2,1,3,3,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,142,113,80,55,31,34,24,18,15,11,9,8,9,8,9,5,3,3,4,3,4,2,3,2,3,2,1,4,2,1,2,0,0,1,0,0,1,1,0,1,0,0,3,1,1,0,1,0,1,3,0,2,0,0,0,0,0
70,133,152,118,77,51,44,31,30,20,16,9,17,15,17,14,8,5,7,6,7,5,4,7,6,7,1,1,2,3,4,1,4,2,0,2,1,1,2,2,2,2,0,1,1,2,0,2,0,1,0,1,0,0,0,0,1,0
80,82,114,106,81,59,57,49,45,25,19,17,23,17,20,10,12,14,10,12,9,12,6,10,6,7,10,9,7,3,3,3,1,1,3,4,1,2,0,1,1,1,3,2,2,0,2,0,0,3,2,1,1,0,0,0,0,0
90,15,30,29,17,21,18,16,15,20,8,8,9,7,11,3,4,5,3,4,5,3,6,2,3,1,2,3,0,4,1,0,3,2,1,2,1,1,2,1,0,4,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
