Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,102,86,28,13,10,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,17,12,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,22,8,4,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,58,45,6,7,6,3,5,2,1,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,48,33,23,6,6,1,2,2,3,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,55,57,22,18,14,6,4,4,4,2,6,3,2,1,2,0,3,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,62,73,53,46,22,15,15,9,7,6,8,5,10,2,2,3,2,2,1,4,2,2,2,2,0,2,1,1,2,0,1,1,0,2,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0
70,75,92,72,67,53,44,30,21,16,14,18,12,17,10,8,7,6,9,7,3,2,1,3,3,5,0,4,3,2,2,3,1,3,0,2,1,2,1,2,0,0,0,0,1,2,1,1,3,1,0,0,0,0,0,0,0,1
80,53,79,53,68,51,35,32,17,27,24,16,17,14,17,5,5,11,7,4,7,4,4,2,3,2,4,3,3,7,0,0,1,2,0,2,2,4,1,0,2,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1
90,12,16,16,24,16,4,13,11,9,8,9,4,4,7,6,2,3,4,2,2,3,4,2,0,2,2,1,1,1,2,1,1,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
