Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,138,131,34,19,10,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,32,17,7,5,1,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,67,39,16,3,4,4,1,1,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,71,44,21,9,7,2,1,3,1,1,3,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,73,45,12,15,4,8,4,3,2,1,0,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,83,61,33,22,16,13,11,8,7,4,6,4,2,2,7,1,3,0,4,2,1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,93,90,72,50,31,31,23,13,11,11,5,10,4,6,10,7,4,2,5,2,0,3,6,1,5,3,2,1,1,2,1,0,2,1,0,1,1,1,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,1
70,99,110,79,83,47,30,27,34,18,19,14,19,10,5,10,7,5,8,4,3,3,3,3,4,5,1,3,2,2,2,2,5,1,1,1,1,2,2,2,0,1,2,0,2,0,1,0,2,2,0,0,2,0,0,0,2,0
80,79,90,71,69,52,36,24,33,16,23,13,20,7,10,16,10,12,6,10,10,10,11,5,6,5,2,4,0,4,4,3,1,2,2,2,1,4,2,0,3,0,1,2,2,0,1,0,0,2,1,2,1,1,0,0,1,0
90,8,20,18,16,15,15,5,10,11,4,9,3,5,4,3,1,5,6,3,5,5,1,0,3,3,2,0,1,3,1,0,0,0,2,1,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
