Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,191,177,54,26,10,6,0,5,2,2,1,1,0,2,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,44,36,10,8,1,3,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,131,65,19,7,6,2,1,3,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,146,82,37,10,12,6,8,2,1,1,4,1,0,2,4,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40,109,69,29,21,9,10,4,5,3,1,0,0,2,4,1,2,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,147,109,49,35,29,12,12,10,8,11,7,4,5,3,5,2,0,1,3,1,0,1,2,0,3,3,2,1,0,0,1,0,1,0,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,146,126,103,64,41,38,31,20,14,12,6,10,8,7,13,6,4,3,4,4,3,3,6,2,5,1,0,2,2,3,2,1,1,1,0,0,1,0,0,1,1,0,2,1,1,0,1,0,0,2,0,0,0,0,1,0,0
70,140,176,134,92,62,44,32,39,28,17,14,23,17,13,16,9,5,8,5,5,4,4,6,7,10,1,5,1,3,3,2,5,3,1,1,2,2,2,3,2,1,1,1,1,0,2,1,1,3,1,0,1,0,0,1,0,0
80,105,142,128,97,73,64,52,49,26,26,16,25,16,20,18,10,13,12,13,11,14,6,12,9,6,4,10,6,6,4,3,0,2,1,4,2,4,1,1,3,1,3,4,4,0,3,1,2,4,2,1,1,1,0,1,0,0
90,15,30,28,24,27,17,10,17,18,8,10,7,9,8,2,2,5,4,5,7,5,5,2,3,2,3,1,0,4,0,0,0,3,1,2,2,1,1,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1
