Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,181,175,54,28,10,6,1,5,2,2,1,1,0,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,40,33,7,8,1,2,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,104,58,20,5,5,2,1,3,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,117,78,36,8,11,6,5,1,1,1,2,2,0,2,3,1,0,2,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,93,69,25,22,6,8,5,4,3,2,0,0,2,4,1,2,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,131,96,46,30,25,12,10,10,8,10,8,4,4,4,5,3,1,1,5,0,0,1,2,0,3,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,140,124,106,68,42,42,31,19,14,14,6,9,6,5,14,8,4,3,6,4,2,3,6,1,6,3,1,2,3,3,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
70,127,165,118,99,59,47,28,40,26,18,14,21,16,8,14,11,7,8,3,6,1,2,7,7,9,2,3,1,1,3,3,4,3,1,0,2,1,2,4,1,1,1,1,2,1,2,1,1,2,1,0,1,0,0,1,1,0
80,101,125,110,90,73,58,42,38,25,24,15,27,13,17,18,9,13,11,11,8,14,7,9,8,5,0,8,1,4,5,3,1,2,3,3,1,4,2,0,2,0,2,5,3,0,1,1,1,4,2,2,1,1,0,0,0,0
90,16,31,26,24,23,16,9,14,18,7,7,8,9,8,2,1,5,5,4,5,5,5,0,2,1,2,1,1,3,0,0,0,3,2,2,4,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
