Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,243,191,62,22,17,5,5,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,39,9,5,3,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,145,98,23,12,7,5,3,3,1,3,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,133,84,29,17,18,8,3,4,5,2,1,0,1,3,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,131,86,33,18,19,18,7,5,7,3,3,2,1,4,1,3,3,1,3,0,2,2,3,0,1,0,1,0,0,0,2,0,2,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,177,115,59,23,27,11,12,17,9,9,13,5,10,1,1,7,2,5,3,2,4,1,1,2,1,0,0,0,3,1,1,1,1,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0
60,169,155,105,93,69,36,27,18,21,13,17,10,20,16,12,6,5,8,8,1,9,3,2,2,1,5,4,2,2,2,1,0,2,0,1,1,2,2,2,1,0,2,1,0,1,0,1,1,0,1,2,1,1,1,0,2,1
70,170,191,133,103,78,64,60,47,48,23,28,25,20,13,19,17,20,7,11,11,12,10,3,6,10,2,7,4,6,13,4,3,4,2,1,0,6,6,1,2,4,2,0,3,1,3,2,2,1,2,0,2,0,1,0,0,1
80,105,177,140,113,81,82,77,57,55,36,28,29,28,32,24,24,14,24,21,11,15,16,22,5,7,8,6,10,8,9,9,9,3,6,5,8,3,5,2,3,2,4,5,6,3,3,3,0,4,4,1,1,0,0,2,2,0
90,35,38,45,44,29,31,28,25,33,16,14,12,18,7,14,11,11,10,7,5,4,5,6,2,2,4,3,3,5,1,4,3,4,2,3,1,1,2,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0
