Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,165,157,46,22,12,3,1,4,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,39,27,6,7,1,2,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,89,52,15,4,3,3,1,2,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,96,61,33,10,10,4,4,2,1,1,3,2,0,2,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,86,56,19,17,4,8,4,3,2,1,0,0,2,2,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,112,82,43,27,18,15,12,8,7,7,6,3,3,3,6,3,3,1,4,2,0,1,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,118,109,89,58,38,39,29,19,14,14,5,10,6,5,12,10,3,2,6,4,0,2,7,2,6,4,1,2,2,2,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,1,0,1
70,119,137,101,95,53,44,25,40,25,20,12,19,16,3,13,8,7,8,5,3,1,3,5,6,6,1,3,2,2,2,3,2,2,1,1,2,1,2,3,0,1,2,1,2,0,1,1,1,2,0,0,0,0,0,1,1,0
80,95,120,100,85,67,48,38,32,20,24,13,25,11,13,17,11,13,11,10,9,13,9,7,7,7,2,6,1,4,3,3,1,2,2,2,1,6,3,0,3,0,1,4,1,0,2,1,1,4,2,2,1,1,0,0,0,0
90,17,27,21,21,19,13,8,12,16,5,9,6,7,6,2,1,4,5,4,5,6,4,0,3,2,3,1,1,3,1,0,0,2,3,1,3,1,2,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
