Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,135,141,45,19,10,6,0,3,1,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,40,33,7,6,0,3,2,3,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,98,60,16,8,4,1,2,3,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,127,64,24,6,8,7,5,4,2,1,3,1,0,2,3,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,85,63,23,15,12,4,2,2,2,1,1,0,3,3,1,2,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,114,89,51,26,19,8,8,7,7,6,2,1,5,4,2,2,0,1,3,1,0,1,2,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,125,94,69,47,27,29,20,12,11,11,8,8,9,7,6,4,3,3,2,2,3,2,2,2,1,2,1,4,2,1,1,0,0,1,0,0,1,1,0,1,0,0,3,1,1,0,1,0,1,2,0,2,1,0,0,0,0
70,114,141,106,65,43,41,29,29,21,10,12,15,13,17,10,8,5,7,6,7,5,4,6,4,5,2,1,2,2,2,1,3,2,0,2,1,0,2,2,3,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,0
80,67,102,94,64,52,48,44,37,27,15,16,21,15,18,7,12,11,6,11,9,12,6,7,4,6,8,7,7,3,2,2,1,1,3,3,1,1,0,1,1,1,2,2,2,0,2,0,0,3,1,1,0,0,0,0,0,0
90,14,26,25,16,17,17,16,17,17,8,7,9,7,10,4,4,5,3,4,4,3,6,3,3,1,2,3,0,3,1,0,2,2,1,2,1,0,1,1,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
