Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,101,80,29,13,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,11,3,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,54,18,9,3,1,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,53,41,7,7,6,3,5,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,45,33,17,6,7,1,2,1,2,1,0,2,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,51,53,26,19,16,6,5,4,4,1,7,3,2,0,3,0,1,1,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,71,52,40,22,15,14,10,7,7,9,5,10,2,4,3,2,1,1,7,2,2,2,1,0,2,1,1,1,0,2,1,0,2,1,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0
70,82,94,73,74,54,48,33,23,18,14,16,13,16,9,8,4,6,10,3,4,2,4,3,1,5,2,3,3,1,1,2,1,3,0,2,1,2,1,2,0,0,0,0,1,2,2,1,3,1,0,0,0,0,0,0,0,1
80,51,74,51,69,50,37,33,21,26,23,18,16,14,17,4,6,9,8,7,6,5,4,1,4,3,2,3,4,7,0,0,1,1,1,2,1,3,1,0,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,3
90,14,16,17,25,15,6,12,13,10,8,8,4,3,6,4,2,4,5,3,2,3,3,1,0,3,2,1,1,1,1,1,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
