Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,208,168,56,21,16,3,5,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,42,33,8,5,2,1,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,123,85,23,11,7,5,2,3,0,3,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,119,72,30,16,18,7,2,3,6,3,1,0,0,3,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,116,71,34,15,16,13,6,6,5,3,3,2,1,2,1,4,3,1,2,0,2,2,3,0,1,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,148,108,56,24,21,14,10,16,8,8,13,5,7,1,2,6,3,5,3,2,6,0,1,2,2,0,0,0,2,1,1,1,1,3,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
60,150,144,93,84,59,34,25,21,20,13,15,6,16,15,10,9,6,8,6,1,7,2,1,2,1,6,4,2,1,1,1,0,2,0,0,1,2,1,2,2,0,2,1,0,1,0,2,1,0,1,0,1,1,0,1,2,1
70,147,176,122,96,72,63,53,48,47,18,22,25,20,11,17,16,22,4,11,13,10,9,4,6,11,1,7,4,5,14,4,5,3,3,1,1,5,5,1,3,4,2,0,3,2,3,3,2,1,1,0,2,0,1,0,0,2
80,88,157,119,102,77,74,68,53,51,35,27,31,30,29,21,26,14,22,22,12,13,16,21,8,7,8,3,10,8,9,8,10,3,6,5,8,3,4,2,3,2,3,5,4,2,3,4,0,3,3,1,0,0,0,1,2,0
90,28,37,41,44,28,31,30,22,29,12,12,14,18,8,12,9,10,10,7,4,4,5,5,3,2,3,3,2,6,1,3,3,3,2,3,1,1,2,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0
