Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,90,88,24,15,5,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,20,19,5,3,0,1,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,59,40,18,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,66,36,11,9,3,1,3,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,59,41,15,9,6,4,4,2,5,2,0,0,2,2,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,62,50,40,17,10,13,7,6,5,3,4,4,1,2,2,0,1,1,2,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,68,64,38,30,22,18,14,7,8,6,8,4,6,6,4,4,1,3,1,0,2,0,2,0,0,3,1,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,1
70,64,69,65,46,29,32,20,29,24,8,7,12,10,8,5,3,6,3,3,7,6,0,4,3,4,1,1,2,3,4,1,2,1,2,0,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1
80,39,67,34,40,21,34,28,16,19,16,15,12,9,10,2,12,11,3,10,4,8,9,4,4,4,5,2,3,1,2,4,3,1,2,3,2,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
90,3,15,12,10,7,13,13,11,8,5,4,11,2,8,2,1,3,3,2,2,0,4,4,3,1,1,2,0,2,2,0,2,0,0,1,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
