Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,82,74,27,7,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,14,4,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,56,14,8,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,53,38,8,5,7,10,5,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,29,17,5,7,2,1,4,2,1,0,2,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,43,54,22,20,16,8,3,4,5,1,5,3,2,1,3,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,62,64,51,41,21,16,14,12,7,7,7,5,7,1,2,1,3,1,2,5,2,1,2,0,0,2,2,2,1,1,2,1,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0
70,81,94,77,79,59,50,33,20,16,10,13,14,14,8,8,3,5,8,2,4,2,5,2,4,5,2,3,5,1,1,3,1,3,2,2,2,1,1,3,0,0,0,0,1,2,1,1,3,1,0,1,0,0,0,0,1,1
80,56,68,51,66,47,33,35,26,27,27,15,18,14,19,3,4,10,9,6,6,6,6,3,4,4,3,3,2,6,3,1,1,1,0,1,1,3,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,3
90,13,18,15,22,17,11,16,11,11,7,7,4,4,7,5,3,4,5,3,4,3,3,4,0,3,1,1,1,1,1,1,2,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
