Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,181,165,49,25,10,3,1,4,2,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,40,29,6,8,1,2,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,96,60,17,4,5,3,1,3,1,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,109,73,34,10,10,4,4,1,1,1,3,2,0,2,2,1,0,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,86,61,21,18,5,8,4,4,2,1,0,0,2,3,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,123,90,43,29,22,15,11,9,6,7,8,4,4,3,6,3,2,1,5,1,0,1,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,132,115,104,65,42,38,28,18,14,14,5,9,6,5,12,9,4,3,6,4,0,2,6,2,6,3,1,2,2,3,1,0,1,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
70,123,153,108,99,58,47,26,40,25,20,13,21,16,4,12,11,6,9,4,3,1,2,5,6,8,1,4,2,1,3,3,3,3,1,1,2,1,2,3,0,1,2,1,2,0,1,1,1,2,1,0,1,0,0,1,1,0
80,100,120,108,86,71,50,37,36,23,24,15,23,11,16,17,10,12,10,11,8,13,9,8,7,7,1,8,1,4,5,3,1,2,2,3,1,4,2,0,3,0,1,4,3,1,1,1,1,4,2,1,1,1,0,0,0,0
90,17,28,20,23,19,15,9,13,17,7,9,8,8,8,2,1,4,5,4,5,5,4,0,3,1,3,1,1,3,0,0,0,3,3,1,3,1,2,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
