Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,106,91,26,13,6,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,22,7,3,0,1,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,69,35,13,9,3,2,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,79,42,11,6,4,3,4,4,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,64,43,17,8,9,5,1,1,3,3,1,0,3,2,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,77,57,43,17,10,7,7,7,7,6,4,4,2,2,2,0,0,1,2,2,1,1,1,0,1,0,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,74,69,43,30,16,18,17,8,8,9,7,5,6,7,4,3,1,3,1,0,3,3,2,1,0,2,1,4,1,0,2,0,0,0,0,0,1,2,0,2,1,0,2,0,0,0,2,0,0,2,0,1,1,0,0,0,1
70,78,86,75,47,33,32,23,26,19,9,10,9,9,13,6,4,5,4,4,7,6,2,3,2,7,1,1,2,4,2,0,1,0,1,0,1,0,1,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
80,42,78,56,38,24,35,32,23,23,17,14,11,10,10,4,12,10,3,8,5,8,11,5,6,6,7,3,6,2,0,3,2,0,2,3,0,1,0,1,1,1,3,2,1,0,1,1,0,1,0,1,0,0,1,0,0,0
90,4,20,17,12,9,11,14,12,8,6,4,9,3,8,3,2,3,3,2,3,1,2,3,3,2,1,2,0,3,2,0,2,0,0,0,2,0,1,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
