Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,176,167,52,17,6,2,1,2,1,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,32,6,4,3,2,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,76,59,14,7,5,3,2,1,1,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,49,68,9,10,15,7,2,4,4,2,0,1,2,4,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,66,53,18,18,13,22,2,2,4,3,3,6,1,4,1,2,2,1,1,0,1,1,3,0,1,0,1,0,1,0,2,1,3,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,93,65,43,23,19,12,11,15,7,8,8,5,7,5,3,7,4,7,2,0,2,2,1,3,1,0,0,1,4,1,1,1,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0
60,80,112,68,62,54,28,32,30,20,19,14,8,15,14,14,6,4,7,9,4,13,4,3,2,0,4,4,5,3,4,1,0,3,0,3,0,3,3,2,1,0,1,1,1,2,1,1,1,1,2,3,1,0,0,0,1,1
70,90,143,85,66,56,52,42,38,40,19,30,21,20,13,16,15,19,4,10,12,6,11,5,5,8,3,9,6,5,13,1,2,3,3,2,1,6,4,1,1,4,1,1,0,1,3,1,2,1,1,0,2,0,3,1,1,1
80,62,126,99,93,69,67,56,43,50,30,37,31,23,33,25,22,14,24,19,12,12,15,20,8,5,6,9,11,6,7,9,9,3,6,8,6,3,4,2,4,4,3,4,7,6,1,3,0,3,3,1,1,2,1,1,2,1
90,18,32,34,33,23,20,26,18,21,13,13,9,18,8,15,11,10,8,5,3,4,4,3,2,3,7,3,4,4,2,4,3,4,3,2,0,1,2,0,1,1,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0
