Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,197,144,48,19,15,3,4,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,37,31,7,5,2,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,120,76,21,11,7,6,2,3,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,96,68,25,13,13,6,3,2,7,3,1,0,0,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,99,60,30,15,14,11,6,6,4,2,3,1,1,2,1,3,3,1,2,0,2,2,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,130,95,47,21,18,13,12,14,9,6,13,5,6,1,2,4,3,3,2,2,6,0,1,1,2,0,0,0,2,0,1,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
60,131,136,83,80,54,33,26,19,20,12,16,4,10,13,10,7,6,6,6,1,7,2,1,3,1,5,3,2,1,1,1,0,2,0,0,1,2,2,1,2,0,2,1,0,1,0,2,1,1,1,0,1,1,0,1,2,2
70,131,155,110,84,64,60,47,41,48,16,18,20,17,8,16,13,18,3,11,11,9,8,4,4,8,1,7,3,4,14,4,5,2,4,0,1,3,3,1,3,3,2,0,3,2,2,3,1,0,1,0,1,0,1,0,0,2
80,84,134,98,84,68,66,65,50,44,33,25,26,26,28,18,25,11,19,18,10,9,15,20,6,7,7,2,10,8,8,7,9,1,6,6,7,3,4,2,2,2,3,5,4,1,3,4,0,3,2,0,0,0,0,1,1,0
90,23,32,32,37,21,23,27,19,28,11,12,12,15,8,9,6,7,9,5,4,3,5,5,3,1,3,2,2,6,0,3,3,2,2,3,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
