Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,151,147,36,22,12,3,1,5,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,37,20,6,6,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,76,44,17,3,4,4,1,2,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,83,56,26,9,7,2,1,2,1,1,3,2,0,2,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,77,52,15,16,4,10,4,2,2,1,0,0,2,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,103,71,38,25,17,14,13,8,6,6,6,4,3,3,6,1,3,0,4,2,1,1,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,107,100,83,53,33,35,25,17,11,14,3,10,6,6,12,7,3,2,6,2,0,3,6,2,7,4,1,1,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,1
70,109,128,92,90,52,38,26,36,20,19,13,21,13,3,12,8,7,9,4,4,2,4,5,5,5,0,4,2,1,2,2,3,2,1,1,2,2,2,3,0,1,2,0,2,0,1,0,2,2,0,0,1,0,0,0,2,0
80,90,111,92,84,57,44,29,32,18,24,11,25,8,12,15,11,12,7,12,10,13,10,5,6,7,2,5,1,4,3,3,1,2,2,2,1,6,2,0,3,0,1,3,1,1,1,1,1,3,2,2,1,1,0,0,0,0
90,13,25,19,19,15,15,7,12,16,4,10,5,6,4,3,1,6,6,3,5,5,3,0,3,3,3,1,1,3,1,0,0,2,3,1,3,1,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
