Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,74,66,24,8,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,14,4,2,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,50,17,5,2,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,50,35,9,3,7,7,4,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,32,30,12,6,5,1,1,4,3,0,0,2,1,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50,31,54,18,19,14,8,4,6,6,1,3,2,1,1,3,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,59,57,50,42,17,19,13,12,6,9,7,3,5,2,2,2,3,0,2,4,1,1,2,0,0,2,3,2,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,3,0,1,0,0,1,1,0
70,68,90,70,75,55,44,30,19,17,15,12,13,11,10,6,3,3,7,2,3,1,6,0,4,5,3,3,3,1,1,2,2,1,2,2,1,0,0,1,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,0,1,0
80,49,61,46,63,41,28,29,24,27,23,19,17,11,14,3,4,8,5,9,5,4,9,3,5,6,3,1,2,5,4,0,0,1,0,1,1,3,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,3
90,9,16,13,19,16,11,14,11,10,7,4,4,4,6,4,5,3,5,3,2,4,2,3,0,2,0,0,1,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
