Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,230,181,58,22,17,4,5,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,49,35,10,5,3,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,139,95,24,12,6,5,3,3,0,3,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,127,81,32,18,18,8,3,4,6,3,1,0,0,3,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,125,77,35,16,17,14,7,6,6,3,3,2,1,2,1,3,3,1,2,0,2,2,3,0,1,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,162,110,58,22,27,14,9,16,10,8,13,5,9,1,1,6,3,5,3,2,6,0,1,2,2,0,0,0,3,1,1,1,1,3,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
60,161,153,94,93,64,35,27,22,21,13,16,9,17,17,12,7,5,8,7,1,8,3,2,2,1,6,4,1,2,2,1,0,2,0,1,1,2,1,2,1,0,2,1,0,1,0,1,1,0,1,1,1,1,1,0,2,1
70,157,188,130,100,79,64,56,48,48,21,23,26,21,13,20,17,21,4,10,12,11,9,4,6,12,2,7,4,6,13,4,5,4,3,1,0,6,5,1,3,4,2,0,3,1,3,2,2,1,2,0,2,0,1,0,0,2
80,101,163,132,108,81,85,71,54,53,37,29,29,29,33,22,26,15,25,22,12,14,15,23,5,7,8,4,10,8,9,8,10,3,6,5,9,3,5,2,3,2,3,5,5,2,3,3,0,4,3,1,0,0,0,1,2,0
90,33,37,43,46,30,32,28,25,32,15,13,13,19,7,13,11,10,10,7,5,4,6,5,3,2,3,3,2,5,1,4,3,4,2,3,1,1,2,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0
