Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,128,88,33,15,8,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,29,17,6,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71,49,18,9,3,3,2,2,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,64,39,20,9,8,3,3,1,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,69,43,21,7,6,7,6,4,4,1,2,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,72,70,37,17,14,15,7,8,6,5,9,2,5,0,2,1,2,2,1,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,71,79,50,41,32,28,11,10,7,6,11,4,8,7,6,4,2,6,1,0,5,1,0,3,1,3,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0,2,0,1,1,2
70,72,77,73,49,37,42,28,34,38,9,11,16,11,5,10,8,9,2,8,6,8,6,5,3,7,1,5,1,5,10,3,3,2,3,0,1,0,2,1,1,2,1,0,3,1,0,3,0,0,1,0,1,0,0,0,0,2
80,48,72,47,48,37,36,45,24,25,20,15,15,14,15,10,14,10,11,13,6,8,10,7,5,3,6,3,5,7,4,6,4,1,3,3,5,1,4,1,0,1,1,4,1,0,2,3,0,0,2,0,0,0,0,0,0,0
90,9,20,11,14,11,14,13,11,13,8,5,11,7,5,3,3,3,3,3,3,2,3,4,1,1,3,1,0,5,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
