Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,144,104,38,17,10,3,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,31,26,6,3,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,81,49,17,11,5,3,2,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,78,48,24,9,10,6,4,2,3,3,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,73,55,28,12,11,11,5,5,3,2,2,1,0,1,1,3,1,0,2,0,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,87,75,34,21,15,13,9,10,7,6,11,3,5,0,2,1,2,2,2,2,5,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,90,101,65,59,36,32,16,15,12,8,11,3,8,9,5,5,3,5,4,1,5,2,1,3,1,3,2,1,0,0,1,0,1,0,0,0,2,2,1,2,1,1,0,0,1,0,2,0,1,1,0,0,1,0,1,1,2
70,88,93,85,57,45,46,32,34,39,13,12,17,14,4,12,9,14,3,9,7,9,8,5,3,9,0,6,1,6,10,3,4,2,4,0,1,1,2,1,1,2,2,0,3,1,1,3,0,0,1,0,1,0,0,0,0,2
80,56,86,65,55,44,43,54,31,31,28,18,19,17,21,13,18,10,14,14,8,8,12,11,5,5,6,2,6,7,4,5,7,1,3,5,6,2,4,1,0,1,1,4,1,1,2,3,0,2,2,0,0,0,0,0,0,0
90,13,22,14,18,17,16,16,12,18,8,6,12,12,5,5,4,3,3,4,3,3,3,5,3,1,3,1,1,6,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
