Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,99,95,38,20,7,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,16,4,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,45,26,7,6,3,5,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,59,34,4,11,4,4,1,2,0,2,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,51,33,22,5,7,2,1,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,69,47,22,16,9,10,4,3,5,2,7,5,3,3,2,1,1,1,4,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,65,60,48,30,23,11,12,17,12,10,10,6,5,2,2,4,1,5,2,4,3,1,4,2,0,3,1,1,1,0,1,0,0,2,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,61,76,60,54,40,40,21,21,11,15,12,11,13,8,12,9,7,8,7,4,2,1,4,4,4,0,4,1,2,2,3,1,2,0,1,4,2,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2
80,45,83,34,60,50,48,27,28,20,21,14,9,10,15,6,6,10,7,5,8,8,6,2,3,2,2,3,4,3,1,0,2,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,1
90,11,21,17,16,17,8,11,5,11,7,9,4,3,6,5,2,2,1,1,1,2,2,3,2,2,2,1,1,0,2,2,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
