Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,185,183,53,23,10,6,0,3,2,3,1,1,0,2,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,44,36,10,8,0,2,2,3,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,123,69,22,8,4,2,1,4,2,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,145,87,35,11,10,7,7,2,1,1,3,2,0,2,5,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,113,75,31,22,9,8,4,4,4,0,0,0,3,3,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,153,116,56,35,27,11,14,11,9,10,6,3,5,3,5,2,0,1,3,1,0,1,2,0,3,4,2,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,150,126,100,64,36,35,28,23,16,12,8,9,9,9,11,5,5,2,6,4,3,2,5,2,6,1,0,3,2,3,2,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0
70,138,173,133,87,53,50,36,42,27,19,15,22,18,16,16,11,7,10,5,6,4,4,6,8,10,1,4,2,2,5,1,4,3,1,1,1,2,2,3,2,1,1,1,1,1,2,2,0,2,1,0,1,0,0,1,0,0
80,103,134,122,96,71,66,50,45,28,26,17,24,17,23,16,10,11,11,11,12,13,6,11,8,6,5,10,5,5,3,2,1,2,1,5,1,2,1,1,2,1,4,2,2,0,2,1,2,3,2,1,1,1,0,1,0,0
90,17,30,28,23,23,16,15,15,21,8,11,7,8,9,2,2,3,2,6,8,4,5,2,1,2,3,1,0,4,0,0,2,3,1,3,2,1,1,1,0,4,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
