Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,191,174,54,29,9,6,0,5,2,2,1,1,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,45,34,9,8,1,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,119,59,20,7,4,2,1,4,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,136,83,36,6,10,6,7,2,1,1,3,2,0,3,4,1,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,102,73,25,23,9,8,5,5,3,1,0,0,0,4,1,2,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,137,101,46,32,26,11,11,9,7,11,7,5,5,3,5,3,1,1,4,0,0,1,2,0,4,2,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,150,129,106,66,44,41,33,22,13,14,5,9,8,7,13,8,4,2,5,4,2,3,7,1,6,2,1,2,2,3,3,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
70,135,173,127,96,59,50,33,39,27,19,14,25,15,10,17,8,6,7,4,6,3,3,7,7,9,2,4,1,2,3,3,5,3,1,1,2,2,2,4,1,1,1,1,1,0,2,1,1,2,1,0,1,0,0,1,1,0
80,103,133,123,93,76,61,47,46,26,23,15,26,12,19,20,9,11,12,12,9,16,8,11,8,5,3,8,2,5,5,3,1,3,3,4,1,4,1,1,3,1,2,4,4,0,3,1,1,5,2,2,1,1,0,0,0,0
90,16,30,27,25,24,16,10,15,18,8,8,8,10,8,3,2,5,4,5,6,5,4,1,2,1,2,1,1,4,0,0,0,2,2,2,4,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
