Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,114,83,31,16,8,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,25,18,5,3,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,64,47,18,9,2,2,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,64,39,21,9,6,3,3,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,64,38,17,6,7,5,5,4,4,2,2,0,0,0,2,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,65,54,38,15,10,14,7,7,6,4,6,2,3,1,2,1,1,2,2,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,69,68,45,40,31,23,12,9,5,6,10,4,6,7,4,3,1,4,1,0,3,1,0,3,1,4,2,1,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,1,0,1,1,2
70,64,73,68,46,32,39,23,31,29,8,9,15,11,3,9,7,9,2,6,6,7,4,4,1,8,1,4,1,4,6,3,3,2,3,0,1,0,2,0,1,2,1,0,2,1,0,2,0,0,1,0,1,0,0,0,0,2
80,47,66,43,42,29,33,35,21,21,17,10,14,13,12,7,12,11,10,12,4,9,8,4,5,2,4,2,3,5,3,4,3,0,3,2,4,2,2,1,0,0,0,4,1,0,2,2,0,0,2,0,0,0,1,0,0,0
90,4,17,11,12,10,15,12,9,12,5,4,11,6,6,2,3,4,3,3,3,1,3,3,2,1,2,2,0,4,2,2,1,0,1,1,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
