Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,249,190,63,20,17,4,5,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,43,8,5,4,1,2,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,150,101,18,14,8,5,3,2,1,4,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,142,87,29,16,18,8,3,5,4,3,1,0,2,3,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,133,84,35,16,19,20,5,5,6,3,3,2,2,4,1,3,3,1,3,0,2,2,3,0,1,0,1,0,0,0,2,0,3,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,188,117,65,27,25,11,12,20,11,10,15,6,11,2,1,7,2,7,3,1,3,1,1,2,1,0,0,0,3,1,1,1,1,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0
60,172,168,108,90,65,39,26,21,22,13,15,11,18,15,14,6,5,9,8,2,11,4,2,4,1,4,4,2,2,2,1,0,2,0,1,2,2,2,2,1,0,2,1,0,2,0,1,1,0,1,2,1,1,1,0,1,1
70,173,203,132,108,79,64,64,50,46,25,28,25,18,13,18,16,19,6,12,11,9,12,4,6,10,2,7,4,5,14,3,4,3,2,1,0,6,6,1,2,5,2,0,4,2,3,2,2,1,2,0,2,0,1,1,0,1
80,110,186,142,117,82,79,71,58,58,37,29,31,28,34,26,24,14,24,20,11,15,15,21,5,7,8,5,11,8,8,9,8,3,6,5,9,3,6,1,3,2,3,5,5,3,3,4,0,3,4,1,0,1,0,3,2,0
90,35,42,45,46,31,30,29,24,32,17,14,11,20,7,14,12,11,9,8,5,4,4,4,2,2,4,3,3,5,1,4,3,4,3,2,1,1,2,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0
