Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,171,179,51,21,9,6,0,3,2,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,43,35,10,8,0,2,2,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,122,64,17,7,3,1,2,4,3,5,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,141,80,35,8,8,7,7,2,2,1,2,2,0,3,5,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,105,70,26,21,9,7,4,3,3,0,0,0,3,3,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,141,112,47,33,27,10,12,10,9,9,6,3,5,5,4,2,0,1,6,1,0,1,2,1,3,4,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,147,126,87,58,30,34,26,22,15,12,8,10,10,10,10,5,4,3,5,3,4,2,5,2,4,1,0,4,2,3,2,0,1,1,0,0,1,1,0,1,0,0,3,1,0,0,1,0,1,3,0,1,0,0,0,0,0
70,142,160,129,82,52,47,32,36,25,18,11,22,16,17,16,10,7,8,5,7,6,4,8,7,9,1,2,2,3,4,1,4,2,1,2,1,2,2,2,2,2,0,1,1,2,2,2,0,2,1,0,0,0,0,1,0,0
80,93,135,115,94,63,61,52,45,28,23,18,22,17,21,13,9,10,11,12,11,13,7,10,8,7,8,10,6,5,3,3,1,2,2,5,1,1,0,1,2,2,3,2,2,0,2,0,1,3,2,1,1,1,0,0,0,0
90,15,29,28,22,23,17,17,14,20,8,12,9,7,10,2,2,4,2,5,4,4,6,2,3,2,4,2,0,4,0,0,2,3,1,2,2,1,1,1,0,4,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0
