Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,73,76,26,11,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,16,5,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,50,20,7,0,5,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,38,25,10,6,6,6,0,3,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,30,29,5,7,2,3,1,4,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,28,35,18,16,6,10,6,7,5,2,3,4,1,1,7,1,3,0,2,2,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,56,55,49,25,18,22,11,8,6,8,5,6,2,2,3,4,4,1,3,2,1,2,2,1,0,4,4,2,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1
70,59,78,46,58,35,33,21,20,7,14,10,12,5,5,7,5,4,7,1,4,2,6,1,2,0,2,1,3,0,1,2,2,0,1,2,2,1,1,1,1,0,1,0,2,0,1,0,1,0,0,1,1,1,0,0,3,0
80,34,49,36,42,31,25,17,26,15,7,13,14,7,7,7,5,7,4,12,3,7,11,3,3,7,1,1,2,2,6,1,1,2,2,1,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,3
90,10,15,10,7,12,12,7,7,7,4,4,5,4,4,5,6,3,4,1,2,3,2,3,1,3,1,0,1,2,1,0,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
