Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,124,120,44,17,7,5,0,2,1,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,29,7,6,0,2,2,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,86,56,13,10,3,1,3,2,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,110,59,22,4,7,6,4,5,2,1,2,1,0,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,75,61,20,12,12,4,1,2,2,1,1,0,3,3,2,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,98,79,49,23,19,9,4,8,7,6,2,1,4,3,1,2,0,1,3,2,0,0,2,1,2,0,1,2,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,106,88,58,40,24,26,19,8,10,10,9,8,7,7,5,4,2,3,1,2,3,4,2,2,0,1,1,4,1,1,1,0,0,1,1,0,1,1,0,1,1,0,3,1,1,0,1,0,0,2,0,1,1,0,0,0,0
70,107,125,96,58,37,35,27,25,21,8,12,11,12,17,8,6,3,5,5,7,5,2,4,3,7,2,1,2,3,2,1,3,1,0,2,0,0,1,1,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0
80,56,85,76,46,42,39,42,35,24,12,13,16,14,17,5,9,10,5,7,8,11,6,6,4,4,8,6,6,3,2,2,1,1,3,3,1,1,0,1,1,1,2,1,2,0,2,0,0,2,1,1,0,0,0,0,0,0
90,9,23,23,13,16,16,15,15,12,9,5,9,6,10,4,2,4,3,3,4,2,3,3,3,1,2,3,0,3,2,0,2,1,0,1,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
